precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"ANA BIRCHALL-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","CRISTIAN DIACONESCU-voturi","MIRCEA-DAN GEOANĂ-voturi","SILVIU PREDOIU-voturi","CRISTIAN-VASILE TERHEȘ-voturi","LUDOVIC ORBAN-voturi","CĂLIN GEORGESCU-voturi","ELENA-VALERICA LASCONI-voturi","ION-MARCEL CIOLACU-voturi","ALEXANDRA-BEATRICE BERTALAN-PĂCURARU-voturi","NICOLAE-IONEL CIUCĂ-voturi","GEORGE-NICOLAE SIMION-voturi","HUNOR KELEMEN-voturi"
43,STRĂINĂTATE,HELSINKI,132,FINLANDA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 00:51:07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"PARIS 1",136,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 03:40:50",0,12,9,3,9,9,0,9,9,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0
43,STRĂINĂTATE,"LYON 1",182,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:49:54",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,STRĂINĂTATE,"MARSILIA 1",190,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:17:44",0,2,2,0,2,2,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
43,STRĂINĂTATE,"STRASBOURG 1",200,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:26:51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TBILISI,204,GEORGIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 19:57:36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BERLIN 1",205,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:34:00",0,14,13,1,13,13,0,13,13,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0
43,STRĂINĂTATE,"BONN 2",224,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:17:48",0,6,6,0,6,6,0,6,6,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0
43,STRĂINĂTATE,"MÜNCHEN 1",244,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 04:51:35",0,19,19,0,19,19,0,19,19,0,0,0,1,3,0,0,0,2,10,1,0,1,0,1
43,STRĂINĂTATE,"STUTTGART 1",274,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:55:28",0,6,6,0,6,6,0,6,5,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0
43,STRĂINĂTATE,"ATENA 1",291,"REPUBLICA ELENĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 23:29:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SALONIC,300,"REPUBLICA ELENĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 22:45:40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"NEW DELHI",302,"REPUBLICA INDIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 20:51:44",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,STRĂINĂTATE,JAKARTA,303,"REPUBLICA INDONEZIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 17:50:29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,AMMAN,304,"REGATUL HAȘEMIT AL IORDANIEI",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 21:33:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BAGDAD,305,IRAK,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 20:53:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ERBIL,306,IRAK,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 21:20:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TEHERAN,307,"REPUBLICA ISLAMICĂ IRAN",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 20:07:39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"DUBLIN 8",315,IRLANDA,9999,3,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-26 15:00:59",0,7,7,0,7,6,1,6,6,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1
43,STRĂINĂTATE,"TEL AVIV 1",324,"STATUL ISRAEL",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 23:11:16",0,8,8,0,8,8,0,8,8,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0
43,STRĂINĂTATE,HAIFA,326,"STATUL ISRAEL",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:24:13",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,STRĂINĂTATE,"ROMA 5",331,ITALIA,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 05:57:57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BARI 1",352,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:13:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BOLOGNA 1",369,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:56:04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"CATANIA 1",399,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 23:51:48",0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"MILANO 1",406,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 23:52:52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"TORINO 1",430,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 03:33:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TRIESTE,463,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 23:49:29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TOKYO,485,JAPONIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 16:42:54",0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
43,STRĂINĂTATE,ASTANA,486,"REPUBLICA KAZAHSTAN",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 22:28:50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,NAIROBI,487,KENYA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 21:19:39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,KUWEIT,489,KUWEIT,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 21:46:57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BEIRUT,490,"REPUBLICA LIBANEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 22:24:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,VILNIUS,491,LITUANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 23:26:25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"LUXEMBURG 1",493,LUXEMBURG,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 04:59:11",0,12,12,0,12,12,0,12,12,0,1,0,0,2,0,0,0,0,9,0,0,0,0,0
43,STRĂINĂTATE,SKOPJE,496,"REPUBLICA MACEDONIA DE NORD",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 11:59:40",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,STRĂINĂTATE,"KUALA LUMPUR",497,MALAYSIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 17:29:09",0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"LONDRA, WESTMINSTER 1",498,"REGATUL UNIT AL MARII BRITANII ȘI AL IRLANDEI DE NORD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 05:52:35",0,15,15,0,15,15,0,15,15,0,1,0,0,1,0,1,0,0,11,0,0,1,0,0
