precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,b3,c,d,e,f,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
1,ALBA,"FLORIDA GOLD SRL",42,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:38:16",1331,874,791,83,0,861,13,1400,526,234,166,26,5,10,98,2,0,1,11,308
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5 PARTOŞ",43,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:27:24",850,474,441,32,1,467,7,900,426,171,84,14,4,4,47,4,0,2,4,133
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:54:04",1262,805,693,112,0,791,14,1300,495,186,171,28,3,7,107,7,2,5,12,263
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",45,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:17:57",1024,540,495,45,0,530,10,1100,560,246,69,5,1,4,73,1,1,1,3,126
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",46,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:32:33",1286,634,614,20,0,629,5,1300,666,258,81,13,11,4,99,1,0,2,4,156
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI - SALA DE SPORT",47,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:37:08",1279,743,665,78,0,740,3,1400,657,260,138,24,6,5,85,1,0,6,2,213
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI",48,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:41:38",1486,857,782,74,1,846,11,1600,743,313,173,22,5,7,101,3,0,1,2,219
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:55:35",1297,704,652,51,1,692,12,1400,696,321,117,20,5,3,75,5,0,5,8,133
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL OARDA DE SUS",50,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:07:02",733,371,339,32,0,364,7,800,429,174,52,16,10,4,36,2,0,3,6,61
1,ALBA,"ŞCOALA PRIMARĂ PÂCLIŞA",51,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:41:53",841,398,367,31,0,394,4,900,502,196,60,4,7,3,56,0,2,2,5,59
