precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
43,STRĂINĂTATE,"LUXEMBURG 1",498,LUXEMBURG,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:26:48",0,2,2,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,SKOPJE,501,"REPUBLICA MACEDONIA DE NORD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:59:33",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"KUALA LUMPUR",502,MALAYSIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 17:53:37",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"LONDRA-WESTMINSTER 1",503,"REGATUL UNIT AL MARII BRITANII ȘI AL IRLANDEI DE NORD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:05:58",0,19,19,0,19,19,0,19,19,0,1,0,3,0,0,0,0,0,0,0,15
43,STRĂINĂTATE,"MANCHESTER 2",581,"REGATUL UNIT AL MARII BRITANII ȘI AL IRLANDEI DE NORD",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 13:03:34",0,5,4,1,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4
43,STRĂINĂTATE,"EDINBURGH 1",602,"REGATUL UNIT AL MARII BRITANII ȘI AL IRLANDEI DE NORD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:49:01",0,3,3,0,3,3,0,3,3,0,0,1,1,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,RABAT,611,"REGATUL MAROC",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:05:54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"CIUDAD DE MEXICO",612,MEXIC,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:32:39",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"CHIȘINĂU 1",613,"REPUBLICA MOLDOVA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:56:36",0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BĂLȚI 1",651,"REPUBLICA MOLDOVA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:26:56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
